Ticker,Peso (%)
AMXL,14.43
WALMEX*,11.75
GFNORTEO,10.62
GMEXICOB,9.57
FEMSAUBD,9.06
CEMEXCPO,4.37
GAPB,3.5
TLEVISACPO,3.08
BIMBOA,2.99
ASURB,2.82
ELEKTRA*,2.3
GFINBURO,2.29
KOFUBL,1.88
AC*,1.76
GRUMAB,1.54
ORBIA*,1.52
KIMBERA,1.31
ALFAA,1.29
OMAB,1.25
BBAJIOO,1.25
PINFRA*,1
GCARSOA1,0.97
PE&OLES*,0.89
CUERVO*,0.88
VOLARA,0.85
VESTA*,0.8
SITES1A-1,0.74
ALSEA*,0.72
Q*,0.72
GCC*,0.69
LIVEPOLC.1,0.65
BOLSAA,0.61
MEGACPO,0.55
LABB,0.52
RA,0.51
MXN,0.33
 ,
