Ticker,Peso (%)
AMXL,15.61
WALMEX*,12.66
FEMSAUBD,12.59
GFNORTEO,7.45
GMEXICOB,6.85
CEMEXCPO,3.59
ELEKTRA*,3.48
TLEVISACPO,3
GAPB,2.49
BIMBOA,2.32
KOFUBL,2.3
GRUMAB,2.22
KIMBERA,2.2
ASURB,2.09
AC*,1.97
PINFRA*,1.67
OMAB,1.52
ALFAA,1.52
GFINBURO,1.5
ORBIA*,1.48
IENOVA*,1.48
PE&OLES*,1.17
GCARSOA1,1.03
MEGACPO,0.91
CUERVO*,0.89
BOLSAA,0.85
VESTA*,0.76
Q*,0.73
LABB,0.68
BBAJIOO,0.65
LIVEPOLC.1,0.49
ALSEA*,0.43
GENTERA*,0.42
BSMXB,0.37
MXN,0.35
RA,0.3
 ,
