Ticker,Peso (%)
AMXL,13.78
FEMSAUBD,10.48
WALMEX*,10.42
GFNORTEO,9.58
GMEXICOB,9.05
CEMEXCPO,5.38
TLEVISACPO,3.17
GAPB,3.17
ELEKTRA*,2.92
BIMBOA,2.32
ASURB,2.32
KOFUBL,1.85
GRUMAB,1.83
KIMBERA,1.75
ALFAA,1.72
AC*,1.68
GFINBURO,1.66
ORBIA*,1.61
OMAB,1.56
PE&OLES*,1.41
IENOVA*,1.4
PINFRA*,1.3
CUERVO*,1
MEGACPO,0.85
BOLSAA,0.84
GCARSOA1,0.81
VESTA*,0.79
SITESB.1,0.75
BBAJIOO,0.69
GCC*,0.66
Q*,0.66
MXN,0.6
LABB,0.58
ALSEA*,0.54
LIVEPOLC.1,0.52
GENTERA*,0.35
 ,
