Ticker,Peso (%)
AMXL,12.71
WALMEX*,10.78
FEMSAUBD,10.47
GFNORTEO,10.26
GMEXICOB,9.44
CEMEXCPO,7.97
TLEVISACPO,4.43
ELEKTRA*,3.05
GAPB,2.71
ASURB,2.34
BIMBOA,2.07
KOFUBL,1.92
ORBIA*,1.77
AC*,1.72
KIMBERA,1.47
GRUMAB,1.46
ALFAA,1.38
GFINBURO,1.33
PE&OLES*,1.12
OMAB,1.1
PINFRA*,1.02
GCARSOA1,0.95
CUERVO*,0.89
GCC*,0.85
VESTA*,0.83
BBAJIOO,0.83
MEGACPO,0.68
ALSEA*,0.66
BOLSAA,0.62
LIVEPOLC.1,0.6
Q*,0.55
MXN,0.55
SITESB.1,0.5
RA,0.5
LABB,0.47
 ,
