Ticker,Peso (%)
AMXL,11.86
GFNORTEO,10.81
WALMEX*,10.63
FEMSAUBD,9.99
GMEXICOB,9.95
CEMEXCPO,8.17
TLEVISACPO,4.3
ELEKTRA*,3.04
GAPB,2.53
ASURB,2.33
BIMBOA,1.97
ORBIA*,1.83
KOFUBL,1.67
KIMBERA,1.63
AC*,1.6
GRUMAB,1.46
OMAB,1.41
GFINBURO,1.4
ALFAA,1.26
PE&OLES*,1.2
MXN,1.11
PINFRA*,1.07
CUERVO*,0.88
VESTA*,0.88
GCARSOA1,0.88
BBAJIOO,0.79
GCC*,0.77
MEGACPO,0.73
BOLSAA,0.68
Q*,0.6
SITESB.1,0.59
ALSEA*,0.54
LIVEPOLC.1,0.53
LABB,0.51
RA,0.43
 ,
