Ticker,Peso (%)
AMXL,15.63
WALMEX*,13.46
FEMSAUBD,12.69
GFNORTEO,7.59
GMEXICOB,6.66
ELEKTRA*,3.9
CEMEXCPO,3.56
TLEVISACPO,3.29
BIMBOA,2.43
KIMBERA,2.42
KOFUBL,2.39
GAPB,2.29
ASURB,2.15
AC*,2.01
GRUMAB,1.94
IENOVA*,1.8
GFINBURO,1.78
PINFRA*,1.67
OMAB,1.31
ORBIA*,1.25
GCARSOA1,1.01
PE&OLES*,0.93
MEGACPO,0.92
ALFAA,0.87
BOLSAA,0.77
CUERVO*,0.71
BBAJIOO,0.7
LABB,0.67
GCC*,0.54
LIVEPOLC.1,0.49
MXN,0.46
GENTERA*,0.44
BSMXB,0.42
ALSEA*,0.36
RA,0.32
ALPEKA,0.15
 ,
