Ticker,Peso (%)
AMXL,13.53
WALMEX*,11.33
FEMSAUBD,10.51
GFNORTEO,10.37
GMEXICOB,8.19
CEMEXCPO,7.19
TLEVISACPO,3.67
ELEKTRA*,2.92
BIMBOA,2.73
GAPB,2.67
ASURB,2.42
KOFUBL,1.95
ORBIA*,1.7
AC*,1.7
KIMBERA,1.55
GRUMAB,1.53
ALFAA,1.34
GFINBURO,1.31
VOLARA,1.17
OMAB,1.06
GCARSOA1,1.02
BBAJIOO,0.96
PE&OLES*,0.96
PINFRA*,0.95
GCC*,0.78
CUERVO*,0.77
VESTA*,0.76
ALSEA*,0.67
Q*,0.62
MEGACPO,0.6
BOLSAA,0.6
LIVEPOLC.1,0.54
SITESB.1,0.53
RA,0.48
LABB,0.47
MXN,0.44
 ,
