Ticker,Peso (%)
AMXL,16.03
WALMEX*,12.25
GFNORTEO,9.59
GMEXICOB,9.05
FEMSAUBD,8.7
CEMEXCPO,4.14
GAPB,3.38
BIMBOA,3.36
TLEVISACPO,2.91
ASURB,2.71
ELEKTRA*,2.36
GFINBURO,2.27
KOFUBL,2.04
AC*,1.96
ORBIA*,1.58
GRUMAB,1.51
ALFAA,1.46
KIMBERA,1.35
OMAB,1.22
GCARSOA1,1.18
BBAJIOO,1.09
PINFRA*,1.07
VESTA*,0.86
CUERVO*,0.82
PE&OLES*,0.8
SITES1A-1,0.74
GCC*,0.7
ALSEA*,0.67
Q*,0.66
VOLARA,0.6
LIVEPOLC.1,0.6
BOLSAA,0.58
LABB,0.52
MEGACPO,0.51
RA,0.42
MXN,0.3
 ,
