Ticker,Peso (%)
AMXL,12.71
WALMEX*,10.43
FEMSAUBD,10.28
GFNORTEO,9.91
GMEXICOB,9.88
CEMEXCPO,5.72
GAPB,3.23
TLEVISACPO,3.05
ELEKTRA*,2.83
ASURB,2.42
BIMBOA,2.23
GRUMAB,1.84
KOFUBL,1.77
KIMBERA,1.77
ORBIA*,1.73
OMAB,1.62
GFINBURO,1.6
AC*,1.55
PE&OLES*,1.53
ALFAA,1.48
PINFRA*,1.35
IENOVA*,1.24
GCARSOA1,1.11
CUERVO*,1.01
BOLSAA,0.82
VESTA*,0.8
MEGACPO,0.8
SITESB.1,0.73
BBAJIOO,0.72
GCC*,0.72
Q*,0.68
LABB,0.52
LIVEPOLC.1,0.51
ALSEA*,0.48
GENTERA*,0.37
MXN,0.3
NMKA,0.27
USD,0.01
 ,
