Ticker,Peso (%)
GMEXICOB,11.83
AMXL,11.42
WALMEX*,11.26
FEMSAUBD,9.88
GFNORTEO,9.73
CEMEXCPO,7.53
TLEVISACPO,3.17
ELEKTRA*,2.77
GAPB,2.7
ASURB,2.5
BIMBOA,2.07
ORBIA*,1.9
GRUMAB,1.74
KOFUBL,1.71
KIMBERA,1.7
AC*,1.53
OMAB,1.52
GFINBURO,1.38
IENOVA*,1.19
ALFAA,1.14
PINFRA*,1.13
PE&OLES*,1.12
CUERVO*,0.88
GCARSOA1,0.87
VESTA*,0.83
GCC*,0.79
MEGACPO,0.76
BBAJIOO,0.68
SITESB.1,0.68
BOLSAA,0.67
Q*,0.67
LABB,0.54
ALSEA*,0.53
LIVEPOLC.1,0.49
RA,0.41
MXN,0.28
 ,
